trip_id,origin,destination,tsp,train_type,departure,arrival,duration,service_id,BasicSeat
00009,60000,71801,IRYO,IRYO,2025-01-04 08:07:00,2025-01-04 10:59:00,0 days 02:52:00,00009_04-01-2025-08.07,19.88
00007,60000,71801,AVE,AVE,2025-01-04 08:27:00,2025-01-04 11:19:00,0 days 02:52:00,00007_04-01-2025-08.27,34.64
00008,60000,71801,AVE,AVE,2025-01-04 08:57:00,2025-01-04 11:41:00,0 days 02:44:00,00008_04-01-2025-08.57,56.77
00009,60000,71801,IRYO,IRYO,2025-01-04 09:22:00,2025-01-04 12:14:00,0 days 02:52:00,00009_04-01-2025-09.22,27.59
00010,60000,71801,AVE,AVE,2025-01-04 09:27:00,2025-01-04 12:41:00,0 days 03:14:00,00010_04-01-2025-09.27,48.38
00009,60000,71801,IRYO,IRYO,2025-01-04 09:57:00,2025-01-04 12:49:00,0 days 02:52:00,00009_04-01-2025-09.57,59.55
00011,60000,71801,OUIGO,OUIGO,2025-01-04 10:02:00,2025-01-04 13:04:00,0 days 03:02:00,00011_04-01-2025-10.02,34.12
00012,60000,71801,AVLO,AVLO,2025-01-04 10:27:00,2025-01-04 13:19:00,0 days 02:52:00,00012_04-01-2025-10.27,48.03
00009,60000,71801,IRYO,IRYO,2025-01-04 11:22:00,2025-01-04 14:14:00,0 days 02:52:00,00009_04-01-2025-11.22,49.9
00006,60000,71801,AVE,AVE,2025-01-04 11:27:00,2025-01-04 14:46:00,0 days 03:19:00,00006_04-01-2025-11.27,47.23
00009,60000,71801,IRYO,IRYO,2025-01-04 12:22:00,2025-01-04 15:14:00,0 days 02:52:00,00009_04-01-2025-12.22,43.92
00013,60000,71801,AVE,AVE,2025-01-04 12:27:00,2025-01-04 15:44:00,0 days 03:17:00,00013_04-01-2025-12.27,63.47
00014,60000,71801,AVE INT,AVE INT,2025-01-04 13:18:00,2025-01-04 16:22:00,0 days 03:04:00,00014_04-01-2025-13.18,82.74
00015,60000,71801,OUIGO,OUIGO,2025-01-04 14:12:00,2025-01-04 16:49:00,0 days 02:37:00,00015_04-01-2025-14.12,15.47
00017,60000,71801,IRYO,IRYO,2025-01-04 14:42:00,2025-01-04 17:41:00,0 days 02:59:00,00017_04-01-2025-14.42,33.08
00018,60000,71801,AVLO,AVLO,2025-01-04 15:27:00,2025-01-04 18:46:00,0 days 03:19:00,00018_04-01-2025-15.27,32.95
00007,60000,71801,AVE,AVE,2025-01-04 16:27:00,2025-01-04 19:19:00,0 days 02:52:00,00007_04-01-2025-16.27,96.52
00002,60000,71801,IRYO,IRYO,2025-01-04 16:37:00,2025-01-04 19:14:00,0 days 02:37:00,00002_04-01-2025-16.37,32.16
00015,60000,71801,OUIGO,OUIGO,2025-01-04 17:17:00,2025-01-04 19:54:00,0 days 02:37:00,00015_04-01-2025-17.17,35.8
00018,60000,71801,AVLO,AVLO,2025-01-04 17:27:00,2025-01-04 20:46:00,0 days 03:19:00,00018_04-01-2025-17.27,20.88
00016,60000,71801,AVE,AVE,2025-01-04 18:27:00,2025-01-04 21:24:00,0 days 02:57:00,00016_04-01-2025-18.27,98.52
00009,60000,71801,IRYO,IRYO,2025-01-04 19:29:00,2025-01-04 22:21:00,0 days 02:52:00,00009_04-01-2025-19.29,27.54
00019,60000,71801,AVLO,AVLO,2025-01-04 19:34:00,2025-01-04 22:55:00,0 days 03:21:00,00019_04-01-2025-19.34,27.13
00009,60000,71801,IRYO,IRYO,2025-01-04 20:22:00,2025-01-04 23:14:00,0 days 02:52:00,00009_04-01-2025-20.22,50.94
00020,60000,71801,AVE,AVE,2025-01-04 20:27:00,2025-01-04 23:48:00,0 days 03:21:00,00020_04-01-2025-20.27,22.11
00005,60000,71801,OUIGO,OUIGO,2025-01-04 21:02:00,2025-01-04 23:54:00,0 days 02:52:00,00005_04-01-2025-21.02,27.09
00021,60000,71801,AVLO,AVLO,2025-01-05 06:27:00,2025-01-05 09:25:00,0 days 02:58:00,00021_05-01-2025-06.27,50.92
00005,60000,71801,OUIGO,OUIGO,2025-01-05 07:02:00,2025-01-05 09:54:00,0 days 02:52:00,00005_05-01-2025-07.02,29.34
00006,60000,71801,AVE,AVE,2025-01-05 07:27:00,2025-01-05 10:46:00,0 days 03:19:00,00006_05-01-2025-07.27,57.06
00009,60000,71801,IRYO,IRYO,2025-01-05 08:07:00,2025-01-05 10:59:00,0 days 02:52:00,00009_05-01-2025-08.07,64.44
00007,60000,71801,AVE,AVE,2025-01-05 08:27:00,2025-01-05 11:19:00,0 days 02:52:00,00007_05-01-2025-08.27,81.47
00009,60000,71801,IRYO,IRYO,2025-01-05 09:22:00,2025-01-05 12:14:00,0 days 02:52:00,00009_05-01-2025-09.22,32.64
00010,60000,71801,AVE,AVE,2025-01-05 09:27:00,2025-01-05 12:41:00,0 days 03:14:00,00010_05-01-2025-09.27,32.06
00009,60000,71801,IRYO,IRYO,2025-01-05 09:57:00,2025-01-05 12:49:00,0 days 02:52:00,00009_05-01-2025-09.57,42.89
00011,60000,71801,OUIGO,OUIGO,2025-01-05 10:02:00,2025-01-05 13:04:00,0 days 03:02:00,00011_05-01-2025-10.02,52.98
00012,60000,71801,AVLO,AVLO,2025-01-05 10:27:00,2025-01-05 13:19:00,0 days 02:52:00,00012_05-01-2025-10.27,55.01
00009,60000,71801,IRYO,IRYO,2025-01-05 11:22:00,2025-01-05 14:14:00,0 days 02:52:00,00009_05-01-2025-11.22,75.76
00006,60000,71801,AVE,AVE,2025-01-05 11:27:00,2025-01-05 14:46:00,0 days 03:19:00,00006_05-01-2025-11.27,156.58
00009,60000,71801,IRYO,IRYO,2025-01-05 12:22:00,2025-01-05 15:14:00,0 days 02:52:00,00009_05-01-2025-12.22,62.61
00013,60000,71801,AVE,AVE,2025-01-05 12:27:00,2025-01-05 15:44:00,0 days 03:17:00,00013_05-01-2025-12.27,48.2
00014,60000,71801,AVE INT,AVE INT,2025-01-05 13:18:00,2025-01-05 16:22:00,0 days 03:04:00,00014_05-01-2025-13.18,55.14
00009,60000,71801,IRYO,IRYO,2025-01-05 14:02:00,2025-01-05 16:54:00,0 days 02:52:00,00009_05-01-2025-14.02,68.29
00015,60000,71801,OUIGO,OUIGO,2025-01-05 14:12:00,2025-01-05 16:49:00,0 days 02:37:00,00015_05-01-2025-14.12,55.99
00016,60000,71801,AVE,AVE,2025-01-05 14:27:00,2025-01-05 17:24:00,0 days 02:57:00,00016_05-01-2025-14.27,102.56
00017,60000,71801,IRYO,IRYO,2025-01-05 14:42:00,2025-01-05 17:41:00,0 days 02:59:00,00017_05-01-2025-14.42,90.6
00018,60000,71801,AVLO,AVLO,2025-01-05 15:27:00,2025-01-05 18:46:00,0 days 03:19:00,00018_05-01-2025-15.27,63.55
00007,60000,71801,AVE,AVE,2025-01-05 16:27:00,2025-01-05 19:19:00,0 days 02:52:00,00007_05-01-2025-16.27,80.51
00002,60000,71801,IRYO,IRYO,2025-01-05 16:37:00,2025-01-05 19:14:00,0 days 02:37:00,00002_05-01-2025-16.37,92.04
00004,60000,71801,AVE,AVE,2025-01-05 16:57:00,2025-01-05 19:34:00,0 days 02:37:00,00004_05-01-2025-16.57,92.93
