service_id,train_type,capacity,train_model,year,month,day_of_week,departure_time,duration,price,passengers,capacity_window_1h
00020_06-01-2025-20.27,AVE,414,S-103,2025,1,0,20.45,201.0,19.02,414,1289.0
00005_06-01-2025-21.02,OUIGO,509,S-108,2025,1,0,21.03,172.0,10.0,509,923.0
00007_06-01-2025-21.07,AVE,414,S-103,2025,1,0,21.12,172.0,23.88,414,923.0
00001_07-01-2025-06.12,AVLO,581,S-106,2025,1,1,6.2,157.0,35.02,581,1401.0
00002_07-01-2025-06.22,IRYO,461,S-109,2025,1,1,6.37,157.0,29.16,461,1401.0
00003_07-01-2025-06.27,AVE,359,S-103,2025,1,1,6.45,178.0,34.15,359,1401.0
00004_07-01-2025-06.57,AVE,414,S-103,2025,1,1,6.95,157.0,99.79,414,1384.0
00005_07-01-2025-07.02,OUIGO,509,S-108,2025,1,1,7.03,172.0,54.23,509,1798.0
00002_07-01-2025-07.22,IRYO,461,S-109,2025,1,1,7.37,157.0,27.01,461,1798.0
00006_07-01-2025-07.27,AVE,414,S-103,2025,1,1,7.45,199.0,43.83,414,1384.0
00004_07-01-2025-07.57,AVE,414,S-103,2025,1,1,7.95,157.0,26.46,414,414.0
00007_07-01-2025-08.27,AVE,414,S-103,2025,1,1,8.45,172.0,76.18,414,1289.0
00002_07-01-2025-08.32,IRYO,461,S-109,2025,1,1,8.53,157.0,55.19,461,1289.0
00008_07-01-2025-08.57,AVE,414,S-103,2025,1,1,8.95,164.0,31.89,414,1336.0
00009_07-01-2025-09.22,IRYO,461,S-109,2025,1,1,9.37,172.0,43.62,461,1289.0
00010_07-01-2025-09.27,AVE,414,S-103,2025,1,1,9.45,194.0,71.95,135,875.0
00009_07-01-2025-09.57,IRYO,461,S-109,2025,1,1,9.95,172.0,39.31,461,970.0
00011_07-01-2025-10.02,OUIGO,509,S-108,2025,1,1,10.03,182.0,21.47,509,1551.0
00012_07-01-2025-10.27,AVLO,581,S-106,2025,1,1,10.45,172.0,35.53,57,1090.0
00009_07-01-2025-11.22,IRYO,461,S-109,2025,1,1,11.37,172.0,37.76,461,1287.0
00006_07-01-2025-11.27,AVE,826,S-103,2025,1,1,11.45,199.0,39.86,330,1287.0
00009_07-01-2025-12.22,IRYO,461,S-109,2025,1,1,12.37,172.0,34.67,382,839.0
00013_07-01-2025-12.27,AVE,378,S-103,2025,1,1,12.45,197.0,44.46,89,839.0
