service_id,train_type,year,month,day_of_week,departure_time,duration,price,passengers,time_distance_competitor_-2,price_competitor_-2,train_type_competitor_-2,duration_competitor_-2,time_distance_competitor_-1,price_competitor_-1,train_type_competitor_-1,duration_competitor_-1,time_distance_competitor_1,price_competitor_1,train_type_competitor_1,duration_competitor_1,time_distance_competitor_2,price_competitor_2,train_type_competitor_2,duration_competitor_2
00009_03-01-2025-09.57,IRYO,2025,1,4,9.95,172.0,50.04,244,-34.8,42.7,IRYO,172.0,-30.0,64.76,AVE,194.0,4.8,53.18,OUIGO,182.0,30.0,58.04,AVLO,172.0
00011_03-01-2025-10.02,OUIGO,2025,1,4,10.03,182.0,53.18,87,-34.8,64.76,AVE,194.0,-4.8,50.04,IRYO,172.0,25.2,58.04,AVLO,172.0,80.4,56.63,IRYO,172.0
00012_03-01-2025-10.27,AVLO,2025,1,4,10.45,172.0,58.04,156,-30.0,50.04,IRYO,172.0,-25.2,53.18,OUIGO,182.0,55.2,56.63,IRYO,172.0,60.0,99.82,AVE,199.0
00009_03-01-2025-11.22,IRYO,2025,1,4,11.37,172.0,56.63,205,-80.4,53.18,OUIGO,182.0,-55.2,58.04,AVLO,172.0,4.8,99.82,AVE,199.0,60.0,50.97,IRYO,172.0
00006_03-01-2025-11.27,AVE,2025,1,4,11.45,199.0,99.82,5,-60.0,58.04,AVLO,172.0,-4.8,56.63,IRYO,172.0,55.2,50.97,IRYO,172.0,60.0,41.48,AVE,197.0
00009_03-01-2025-12.22,IRYO,2025,1,4,12.37,172.0,50.97,236,-60.0,56.63,IRYO,172.0,-55.2,99.82,AVE,199.0,4.8,41.48,AVE,197.0,34.8,74.92,AVE,157.0
00013_03-01-2025-12.27,AVE,2025,1,4,12.45,197.0,41.48,1585,-60.0,99.82,AVE,199.0,-4.8,50.97,IRYO,172.0,30.0,74.92,AVE,157.0,51.0,55.14,AVE,184.0
00004_03-01-2025-12.57,AVE,2025,1,4,12.95,157.0,74.92,101,-34.8,50.97,IRYO,172.0,-30.0,41.48,AVE,197.0,21.0,55.14,AVE,184.0,60.0,91.42,AVE,157.0
00014_03-01-2025-13.18,AVE,2025,1,4,13.3,184.0,55.14,230,-51.0,41.48,AVE,197.0,-21.0,74.92,AVE,157.0,39.0,91.42,AVE,157.0,43.8,77.91,IRYO,172.0
00004_03-01-2025-13.57,AVE,2025,1,4,13.95,157.0,91.42,33,-60.0,74.92,AVE,157.0,-39.0,55.14,AVE,184.0,4.8,77.91,IRYO,172.0,15.0,40.65,OUIGO,157.0
00009_03-01-2025-14.02,IRYO,2025,1,4,14.03,172.0,77.91,13,-43.8,55.14,AVE,184.0,-4.8,91.42,AVE,157.0,10.2,40.65,OUIGO,157.0,25.2,95.11,AVE,177.0
00015_03-01-2025-14.12,OUIGO,2025,1,4,14.2,157.0,40.65,361,-15.0,91.42,AVE,157.0,-10.2,77.91,IRYO,172.0,15.0,95.11,AVE,177.0,30.0,86.99,IRYO,179.0
00016_03-01-2025-14.27,AVE,2025,1,4,14.45,177.0,95.11,17,-25.2,77.91,IRYO,172.0,-15.0,40.65,OUIGO,157.0,15.0,86.99,IRYO,179.0,30.0,109.05,AVE,157.0
00017_03-01-2025-14.42,IRYO,2025,1,4,14.7,179.0,86.99,7,-30.0,40.65,OUIGO,157.0,-15.0,95.11,AVE,177.0,15.0,109.05,AVE,157.0,45.0,50.65,AVLO,199.0
00004_03-01-2025-14.57,AVE,2025,1,4,14.95,157.0,109.05,12,-30.0,95.11,AVE,177.0,-15.0,86.99,IRYO,179.0,30.0,50.65,AVLO,199.0,60.0,99.27,AVE,157.0
